,0,1,2,3,4,y,m
2,1,"р. Чапаевка,  | г. Чапаевск",Самарская область,Ионы ртути,9.0,2010,01
5,1,"р. Айва, 22.9 км выше устья,  | г. Красноуральск",Свердловская область,Ионы меди,53.0,2010,01
6,2,"р. Блява,  | г. Медногорск",Оренбургская область,Ионы меди,60.0,2010,01
7,3,"р. Колос-Йоки,  | п. Никель",Мурманская область,Ионы никеля,56.0,2010,01
9,1,"р. Айва, 22.9 км выше устья,  | г. Красноуральск",Свердловская область,Ионы марганца,72.0,2010,01
17,5,"р. Надым, г. Надым",Тюменская область,Ионы железа общего,54.0,2010,01
18,6,"р. Нейва,  | г. Невьянск",Свердловская область,Ионы марганца,55.0,2010,01
22,9,"р. Патрушиха,  | г. Екатеринбург",Свердловская область,Ионы марганца,120.0,2010,01
25,12,"р. Пур, п. Самбург",Тюменская область,Ионы железа общего,67.0,2010,01
26,13,"р. Пур, п. Уренгой",Тюменская область,Ионы железа общего,72.0,2010,01
27,14,"р. Пышма,  | г. Березовский",Свердловская область,Ионы марганца,90.0,2010,01
28,15,"р. Пяку-Пур,  | п. Тарко-Сале",Тюменская область,Ионы железа общего,59.0,2010,01
29,16,"р. Тула,  | г. Новосибирск",Новосибирская область,Ионы марганца,54.0,2010,01
30,17,"р. Тура,  | д. Тимофеево",Свердловская область,Ионы марганца,66.0,2010,01
31,18,"р. Чапаевка,  | г. Чапаевск",Самарская область,Ионы марганца,105.0,2010,01
32,19,"р. Нижняя Ельцовка, г.Новосибирск",Новосибирская область,Ионы марганца,59.0,2010,01
2,1,"р. Чапаевка,  | г. Чапаевск",Самарская область,Ионы ртути,5.0,2010,02
4,1,"р. Блява,  | г. Медногорск",Оренбургская область,Ионы меди,94.0,2010,02
5,2,"р. Колос-Йоки, | п. Никель",Мурманская область,Ионы никеля,51.0,2010,02
8,1,"вдхр. Курганское,  | г. Курган",Курганская область,Ионы марганца,72.0,2010,02
12,5,"р. Аремзянка,  | д. Чукманка",Тюменская область,Ионы марганца,66.0,2010,02
13,6,"р. Вагай, с. Вагай",Тюменская область,Ионы марганца,206.0,2010,02
14,7,"р. Велва, д. Ошиб",Пермский край,Взвешенные вещества,67.0,2010,02
15,8,р. Вильва в районе автодорожного моста Чусовой - Губаха,Пермский край,Ионы железа общего,199.0,2010,02
16,9,"р. Дачная, устье",Приморский край,БПК | 5,23.0,2010,02
17,10,"р. Иньва,  | г. Кудымкар",Пермский край,Взвешенные вещества,82.0,2010,02
19,11,"р. Иньва, д. Слудка",Пермский край,Взвешенные вещества,80.0,2010,02
20,12,"р. Ирбит, г. Ирбит",Свердловская область,Ионы марганца,72.0,2010,02
21,13,"р. Исеть,  | г. Екатеринбург",Свердловская область,Взвешенные вещества,52.0,2010,02
22,14,"р. Кизел, г. Кизел в районе автодорожного моста  Губаха - Александровск",Пермский край,Ионы железа общего,4690.0,2010,02
24,15,"р. Косьва, г. Губаха",Пермский край,Ионы железа общего,85.0,2010,02
25,16,"р. Косьва, д. Кунья",Пермский край,Взвешенные вещества,96.0,2010,02
26,17,"р. Лая, 15,1 км выше устья,  | г. Красноуральск",Свердловская область,Ионы марганца,78.0,2010,02
27,18,"р. Лая, 22,5 км выше устья,  | г. Красноуральск",Свердловская область,Ионы марганца,61.0,2010,02
28,19,"р. Лысьва, устье",Пермский край,Взвешенные вещества,62.0,2010,02
29,20,"р. Миасс, г. Миасс",Челябинская область,Ионы марганца,54.0,2010,02
