obj,loc,p,v,y,m,lat,lon
"р. Нейва,  | г. Невьянск",Свердловская область,Ионы марганца,120.0,2010,4,58.14405373239438,61.07888843661972
"р. Ница, г. Ирбит",Свердловская область,Взвешенные вещества,76.0,2010,4,58.14405373239438,61.07888843661972
"р. Ница,  | с. Красносло-бодское",Свердловская область,Взвешенные вещества,67.0,2010,4,58.14405373239438,61.07888843661972
"р. Пышма,  | г. Березовский",Свердловская область,Ионы марганца,85.0,2010,4,58.14405373239438,61.07888843661972
"р. Пышма,  | г. Камышлов",Свердловская область,Взвешенные вещества,121.0,2010,4,58.14405373239438,61.07888843661972
"р. Салда,  | д. Прокопьевская Салда",Свердловская область,Ионы марганца,150.0,2010,4,58.14405373239438,61.07888843661972
"р. Тагил,  | г. Нижний Тагил",Свердловская область,Ионы марганца,71.0,2010,4,58.14405373239438,61.07888843661972
"р. Чусовая,  | г. Первоуральск",Свердловская область,Взвешенные вещества,54.0,2010,4,58.14405373239438,61.07888843661972
"р. Исеть,  | г. К-Уральский",Свердловская область,Взвешенные вещества,104.0,2010,6,58.14405373239438,61.07888843661972
"р. Нейва, г. Невьянск",Свердловская область,Взвешенные вещества,177.0,2010,6,58.14405373239438,61.07888843661972
"р. Ница, г. Ирбит",Свердловская область,Взвешенные вещества,86.0,2010,6,58.14405373239438,61.07888843661972
"р. Ница,  | с. Краснослободское",Свердловская область,Взвешенные вещества,93.0,2010,6,58.14405373239438,61.07888843661972
"р. Пышма,  | г. Камышлов",Свердловская область,Взвешенные вещества,50.0,2010,6,58.14405373239438,61.07888843661972
"р. Пышма, г. Талица",Свердловская область,Взвешенные вещества,107.0,2010,6,58.14405373239438,61.07888843661972
"р. Тура, г. Туринск",Свердловская область,Взвешенные вещества,94.0,2010,6,58.14405373239438,61.07888843661972
"р. Исеть, у г. Екатеринбург, ниже сброса сточных вод Екатеринбургского МУП ""Водоканал""",Свердловская область,Нефтепродукты,208.0,2010,8,58.14405373239438,61.07888843661972
"р. Пышма, д. Пышма",Свердловская область,Сульфиды,104.0,2010,8,58.14405373239438,61.07888843661972
"р. Айва, 18,6 км выше устья,  | г. Красноуральск",Свердловская область,Ионы меди,56.0,2010,9,58.14405373239438,61.07888843661972
"р. Салда,  | д. Прокопьевская Салда",Свердловская область,Ионы меди,162.0,2010,9,58.14405373239438,61.07888843661972
"р. Салда,  | д. Прокопьевская Салда",Свердловская область,Ионы марганца,81.0,2010,9,58.14405373239438,61.07888843661972
"р. Тавда, г. Тавда",Свердловская область,Взвешенные вещества,72.0,2010,9,58.14405373239438,61.07888843661972
"р. Исеть,  | г. Екатеринбург",Свердловская область,Взвешенные вещества,119.0,2010,10,58.14405373239438,61.07888843661972
"р. Дегтярка,  | г. Дегтярск",Свердловская область,Ионы меди**,110.0,2010,11,58.14405373239438,61.07888843661972
"р. Исток, г. Дегтярск",Свердловская область,Ионы меди**,3800.0,2010,11,58.14405373239438,61.07888843661972
"р. Дегтярка,  | г. Дегтярск",Свердловская область,Ионы марганца**,61.0,2010,11,58.14405373239438,61.07888843661972
"р. Исеть,  | г. Екатеринбург",Свердловская область,Взвешенные вещества,306.0,2010,11,58.14405373239438,61.07888843661972
"р. Исеть,  | г. Каменск-Уральский",Свердловская область,Взвешенные вещества,75.0,2010,11,58.14405373239438,61.07888843661972
"р. Исток, г. Дегтярск",Свердловская область,Ионы железа общего**,5225.0,2010,11,58.14405373239438,61.07888843661972
"р. Лобва, р.п. Лобва",Свердловская область,Взвешенные вещества,67.0,2010,11,58.14405373239438,61.07888843661972
"р. Ница,  | с. Краснослободское",Свердловская область,Взвешенные вещества,80.0,2010,11,58.14405373239438,61.07888843661972
"р. Исеть,  | г. Екатеринбург",Свердловская область,Взвешенные вещества,63.0,2010,12,58.14405373239438,61.07888843661972
"р. Исеть,  | г. Екатеринбург",Свердловская область,Взвешенные вещества,398.0,2011,9,58.14405373239438,61.07888843661972
"р. Ница, г. Ирбит",Свердловская область,Взвешенные вещества,117.0,2011,9,58.14405373239438,61.07888843661972
"р. Колос-Йоки,  | п. Никель",Мурманская область,Ионы никеля,55.0,2008,11,68.2401548613861,33.79680154455446
"р. Нюдуай,  | г. Мончегорск",Мурманская область,Ионы меди,107.0,2008,11,68.2401548613861,33.79680154455446
"р. Хауки-Лампи-Йоки,  | г. Заполярный",Мурманская область,Дитиофосфат крезиловый,50.0,2008,12,68.2401548613861,33.79680154455446
"р. Нюдуай,  | г. Мончегорск",Мурманская область,Ионы ртути,11.0,2009,1,68.2401548613861,33.79680154455446
"р. Хауки-лампи-йоки,  | г. Заполярный",Мурманская область,Ионы ртути,8.0,2009,1,68.2401548613861,33.79680154455446
"р. Колос-Йоки,  | п. Никель",Мурманская область,Ионы никеля,52.0,2009,1,68.2401548613861,33.79680154455446
"р. Хауки-лампи-йоки, |  г. Заполярный",Мурманская область,Ионы ртути,13.0,2009,2,68.2401548613861,33.79680154455446
"р. Колос-Йоки,  | п. Никель",Мурманская область,Ионы никеля,64.0,2009,2,68.2401548613861,33.79680154455446
"р. Нюдуай,  | г. Мончегорск",Мурманская область,Ионы меди,54.0,2009,2,68.2401548613861,33.79680154455446
"р. Нама-Йоки,  | п. Луостари",Мурманская область,Дитиофосфат крезиловый,60.0,2009,2,68.2401548613861,33.79680154455446
"р. Печенга,  | п. Корзуново",Мурманская область,Дитиофосфат крезиловый,60.0,2009,2,68.2401548613861,33.79680154455446
"р. Хаукилампи-Йоки,  | г. Заполярный",Мурманская область,Дитиофосфат крезиловый,50.0,2009,2,68.2401548613861,33.79680154455446
"оз. Б.Вудъявр,  | г. Кировск",Мурманская область,Ионы молибдена,19.0,2009,3,68.2401548613861,33.79680154455446
"р. Можель,  | г. Ковдор",Мурманская область,Ионы марганца,56.0,2009,3,68.2401548613861,33.79680154455446
"р. Роста,  | г. Мурманск",Мурманская область,Ионы ртути,6.0,2009,11,68.2401548613861,33.79680154455446
"р. Колос-Йоки,  | п. Никель",Мурманская область,Ионы никеля,56.0,2009,11,68.2401548613861,33.79680154455446
"руч. Варничный,  | г. Мурманск",Мурманская область,БПК | 5,23.0,2009,11,68.2401548613861,33.79680154455446
"р. Хауки-лампи-йоки,  | г. Заполярный",Мурманская область,Ионы ртути,6.0,2009,12,68.2401548613861,33.79680154455446
"р. Колос-йоки,  | пгт. Никель",Мурманская область,Ионы никеля,52.0,2009,12,68.2401548613861,33.79680154455446
"р. Колос-Йоки,  | п. Никель",Мурманская область,Ионы никеля,56.0,2010,1,68.2401548613861,33.79680154455446
"р. Колос-Йоки, | п. Никель",Мурманская область,Ионы никеля,51.0,2010,2,68.2401548613861,33.79680154455446
"руч. Варничный,  | г. Мурманск",Мурманская область,БПК | 5,63.0,2010,2,68.2401548613861,33.79680154455446
"оз. Б.Вудъявр,  | г. Кировск",Мурманская область,Ионы молибдена,17.0,2010,3,68.2401548613861,33.79680154455446
"р. Можель, г. Ковдор",Мурманская область,Ионы марганца,67.0,2010,3,68.2401548613861,33.79680154455446
"р. Печенга, п. Корзуново",Мурманская область,Дитиофосфат крезиловый,60.0,2010,3,68.2401548613861,33.79680154455446
"оз. Б.Вудъявр,  | г. Кировск",Мурманская область,Ионы молибдена,15.0,2010,4,68.2401548613861,33.79680154455446
"р. Белая, г. Апатиты",Мурманская область,Ионы молибдена,16.0,2010,4,68.2401548613861,33.79680154455446
"р. Колос-Йоки,  | п. Никель",Мурманская область,Ионы меди,74.0,2010,4,68.2401548613861,33.79680154455446
"р. Нюдуай,  | г. Мончегорск",Мурманская область,Ионы меди,142.0,2010,4,68.2401548613861,33.79680154455446
"р. Хауки-Лампи-Йоки, г. Заполярный",Мурманская область,Ионы меди,82.0,2010,4,68.2401548613861,33.79680154455446
"р. Печенга,  | п. Корзуново",Мурманская область,Дитиофосфат крезиловый,60.0,2010,4,68.2401548613861,33.79680154455446
"р. Хауки-Лампи-Йоки, г. Заполярный",Мурманская область,Дитиофосфат крезиловый,50.0,2010,4,68.2401548613861,33.79680154455446
"р. Колос-Йоки,  | п. Никель",Мурманская область,Ртуть,6.0,2010,6,68.2401548613861,33.79680154455446
"р. Белая, г. Апатиты",Мурманская область,Молибден,10.0,2010,6,68.2401548613861,33.79680154455446
"р. Нюдуай,  | г. Мончегорск",Мурманская область,Ионы меди,61.0,2010,8,68.2401548613861,33.79680154455446
"р. Хаукилампи-Йоки, г. Заполярный",Мурманская область,Дитиофосфат крезиловый,50.0,2010,8,68.2401548613861,33.79680154455446
"р. Колос-Йоки,  | п. Никель",Мурманская область,Ионы ртути,7.0,2010,9,68.2401548613861,33.79680154455446
"оз. Б.Вудъявр,  | г. Кировск",Мурманская область,Ионы молибдена,12.0,2010,9,68.2401548613861,33.79680154455446
"р. Белая, г. Апатиты",Мурманская область,Ионы молибдена,11.0,2010,9,68.2401548613861,33.79680154455446
"оз. Б.Вудъявр,  | г. Кировск",Мурманская область,Ионы молибдена,13.0,2010,10,68.2401548613861,33.79680154455446
"р. Белая, г. Апатиты",Мурманская область,Ионы молибдена,11.0,2010,10,68.2401548613861,33.79680154455446
"р. Нюдуай,  | г. Мончегорск",Мурманская область,Ионы меди,118.0,2010,10,68.2401548613861,33.79680154455446
"р. Хаукилампийоки,  | г. Заполярный",Мурманская область,Ионы ртути,6.0,2010,11,68.2401548613861,33.79680154455446
"р. Колос-йоки,  | п. Никель",Мурманская область,Ионы никеля,59.0,2010,11,68.2401548613861,33.79680154455446
"р. Нюдуай,  | г. Мончегорск",Мурманская область,Ионы меди,83.0,2010,11,68.2401548613861,33.79680154455446
"ручей Варничный,  | г. Мурманск",Мурманская область,Легкоокисляемые органические вещества по БПК | 5,26.0,2010,11,68.2401548613861,33.79680154455446
"р. Колос-Йоки,  | п. Никель",Мурманская область,Ионы никеля,97.0,2010,12,68.2401548613861,33.79680154455446
"р. Нюдуай,  | г. Мончегорск",Мурманская область,Ионы никеля,62.0,2010,12,68.2401548613861,33.79680154455446
"р. Белая,  | г. Апатиты",Мурманская область,Ионы молибдена,13.0,2011,9,68.2401548613861,33.79680154455446
"оз. Б.Вудъявр,  | г. Кировск",Мурманская область,Ионы молибдена,12.0,2011,9,68.2401548613861,33.79680154455446
"р. Охинка, г. Оха",Сахалинская область,Нефтепродукты,61.0,2008,11,51.039481897435905,142.82582174358978
"р. Красносель-ская, г. Южно-Сахалинск",Сахалинская область,Азот нитритный,72.0,2009,2,51.039481897435905,142.82582174358978
"р. Охинка, г. Оха",Сахалинская область,Нефтепродукты,137.0,2009,12,51.039481897435905,142.82582174358978
"р. Охинка, г. Оха",Сахалинская область,Нефтепродукты,58.0,2010,11,51.039481897435905,142.82582174358978
р. Вильва в районе автодорожного моста  Чусовой-Губаха,Пермский край,Ионы железа общего,73.0,2008,11,58.296433301115215,56.226613423791875
"р. Вишера,  | г. Красновишерск",Пермский край,Взвешенные вещества,147.0,2008,11,58.296433301115215,56.226613423791875
"р. Косьва, г. Губаха",Пермский край,Ионы железа общего,152.0,2008,11,58.296433301115215,56.226613423791875
"р. Косьва, д. Кунья",Пермский край,Ионы железа общего,58.0,2008,11,58.296433301115215,56.226613423791875
"р. Северная Вильва, |  п. Всеволодо-Вильва",Пермский край,Ионы железа общего,234.0,2008,11,58.296433301115215,56.226613423791875
