obj,loc,p,v,y,m
"р. Пяку-Пур,  | п. Тарко-Сале",Тюменская область,Ионы железа общего,59.0,2010,1
"р. Тула,  | г. Новосибирск",Новосибирская область,Ионы марганца,54.0,2010,1
"р. Тура,  | д. Тимофеево",Свердловская область,Ионы марганца,66.0,2010,1
"р. Чапаевка,  | г. Чапаевск",Самарская область,Ионы марганца,105.0,2010,1
"р. Нижняя Ельцовка, г.Новосибирск",Новосибирская область,Ионы марганца,59.0,2010,1
"р. Чапаевка,  | г. Чапаевск",Самарская область,Ионы ртути,5.0,2010,2
"р. Блява,  | г. Медногорск",Оренбургская область,Ионы меди,94.0,2010,2
"р. Колос-Йоки, | п. Никель",Мурманская область,Ионы никеля,51.0,2010,2
"вдхр. Курганское,  | г. Курган",Курганская область,Ионы марганца,72.0,2010,2
"р. Аремзянка,  | д. Чукманка",Тюменская область,Ионы марганца,66.0,2010,2
"р. Вагай, с. Вагай",Тюменская область,Ионы марганца,206.0,2010,2
"р. Велва, д. Ошиб",Пермский край,Взвешенные вещества,67.0,2010,2
р. Вильва в районе автодорожного моста Чусовой - Губаха,Пермский край,Ионы железа общего,199.0,2010,2
"р. Дачная, устье",Приморский край,БПК | 5,23.0,2010,2
"р. Иньва,  | г. Кудымкар",Пермский край,Взвешенные вещества,82.0,2010,2
"р. Иньва, д. Слудка",Пермский край,Взвешенные вещества,80.0,2010,2
"р. Ирбит, г. Ирбит",Свердловская область,Ионы марганца,72.0,2010,2
"р. Исеть,  | г. Екатеринбург",Свердловская область,Взвешенные вещества,52.0,2010,2
"р. Кизел, г. Кизел в районе автодорожного моста  Губаха - Александровск",Пермский край,Ионы железа общего,4690.0,2010,2
"р. Косьва, г. Губаха",Пермский край,Ионы железа общего,85.0,2010,2
"р. Косьва, д. Кунья",Пермский край,Взвешенные вещества,96.0,2010,2
"р. Лая, 15,1 км выше устья,  | г. Красноуральск",Свердловская область,Ионы марганца,78.0,2010,2
"р. Лая, 22,5 км выше устья,  | г. Красноуральск",Свердловская область,Ионы марганца,61.0,2010,2
"р. Лысьва, устье",Пермский край,Взвешенные вещества,62.0,2010,2
"р. Миасс, г. Миасс",Челябинская область,Ионы марганца,54.0,2010,2
"р. Надым, г. Надым",Таймырский (Долгано-Ненецкий) автономный округ,Ионы железа общего,58.0,2010,2
"р. Нейва,  | г. Невьянск",Свердловская область,Ионы марганца,63.0,2010,2
"р. Обва,  | п. Рождественск",Пермский край,Взвешенные вещества,99.0,2010,2
"р. Омь, г. Калачинск",Омская область,Ионы марганца,87.0,2010,2
"р. Патрушиха,  | г. Екатеринбург",Свердловская область,Ионы марганца,80.0,2010,2
"р. Пур, п. Самбург",Таймырский (Долгано-Ненецкий) автономный округ,Ионы железа общего,86.0,2010,2
"р. Пур, п. Уренгой",Таймырский (Долгано-Ненецкий) автономный округ,Ионы марганца,103.0,2010,2
"р. Пышма,  | г. Березовский",Свердловская область,Ионы марганца,110.0,2010,2
"р. Пышма,  | пгт. Богандинский",Тюменская область,Ионы марганца,61.0,2010,2
"р. Пяку-Пур,  | п. Тарко-Сале",Таймырский (Долгано-Ненецкий) автономный округ,Ионы марганец,76.0,2010,2
"р. Сев. Вильва,  | п. Всеволодо-Вильва",Пермский край,Ионы железа общего,348.0,2010,2
"р. Тавда, г. Тавда",Свердловская область,Ионы марганца,57.0,2010,2
"р. Теча,  | с. Першинское",Курганская область,Ионы марганца,68.0,2010,2
"р. Тобол,  | с. Зверино-головское",Курганская область,Ионы марганца,130.0,2010,2
"р. Тура, г. Тюмень",Тюменская область,Ионы марганца,97.0,2010,2
"р. Тура,  | д. Тимофеево",Свердловская область,Ионы марганца,59.0,2010,2
"р. Тура, с. Салаирка",Тюменская область,Ионы марганца,68.0,2010,2
"р. Уй,  | с. Усть-Уйское",Курганская область,Ионы марганца,140.0,2010,2
"р. Ук,  | г. Заводоуковск",Тюменская область,Ионы марганца,161.0,2010,2
"р. Чапаевка,  | г. Чапаевск",Самарская область,Ионы марганца,124.0,2010,2
"р. Чусовая,  | г. Чусовой",Свердловская область,Взвешенные вещества,57.0,2010,2
"руч. Варничный,  | г. Мурманск",Мурманская область,БПК | 5,63.0,2010,2
"оз. Б.Вудъявр,  | г. Кировск",Мурманская область,Ионы молибдена,17.0,2010,3
"р. Обь, протока Малая Обь,  с. Мужи",Тюменская область,Ионы цинка,150.0,2010,3
"р. Тагил, г. Нижний Тагил",Свердловская область,Ионы цинка,100.0,2010,3
"вдхр. Курганское,  | г. Курган",Курганская область,Ионы марганца,150.0,2010,3
"р. Айва, 22.9 км выше устья,  | г. Красноуральск",Свердловская область,Ионы марганца,54.0,2010,3
"р. Аргунь, пос.Молоканка",Забайкальский край,Ионы марганца,78.0,2010,3
"р. Аргунь, с.Кути",Забайкальский край,Ионы марганца,109.0,2010,3
"р. Артынка,  | с. Костино",Омская область,Ионы марганца,65.0,2010,3
р. Большая Вязовка п.Тридцатый,Самарская область,Ионы марганца,424.0,2010,3
р. Вильва - автодорожный мост трассы гг. Чусовой-Губаха,Пермский край,Ионы железа общего,468.0,2010,3
"р. Иртыш, г. Омск",Омская область,Ионы марганца,84.0,2010,3
"р. Исеть, 522,3 км выше устья, п. Двуреченск",Свердловская область,Взвешенные вещества,124.0,2010,3
"р. Исеть, 523.8 км выше устья, п. Двуреченск",Свердловская область,Взвешенные вещества,119.0,2010,3
"р. Кизел, г. Кизел (мост а/д Губаха-Александровск)",Пермский край,Ионы железа общего,3150.0,2010,3
"р. Косьва, г. Губаха",Пермский край,Ионы железа общего,55.0,2010,3
"р. Кулой, д. Кулой",Архангельская область,Ионы марганца,104.0,2010,3
"р. Лая, 15,1 км выше устья,  | г. Красноуральск",Свердловская область,Ионы марганца,62.0,2010,3
"р. Лая, 21.1 км выше устья,  | г. Красноуральск",Свердловская область,Ионы марганца,69.0,2010,3
"р. Лая, 22,5 км выше устья,  | г. Красноуральск",Свердловская область,Ионы марганца,70.0,2010,3
"р. Мезень, д. Малонисогорская",Архангельская область,Ионы марганца,155.0,2010,3
"р. Можель, г. Ковдор",Мурманская область,Ионы марганца,67.0,2010,3
"р. Нейва, г. Невьянск",Свердловская область,Ионы марганца,110.0,2010,3
"р. Ныда, п. Ныда",Тюменская область,Ионы железа общего,73.0,2010,3
"р. Патрушиха,  | г. Екатеринбург",Свердловская область,Ионы марганца,75.0,2010,3
"р. Пельшма, г. Сокол",Вологодская область,БПК | 5,8.0,2010,3
"р. Печенга, п. Корзуново",Мурманская область,Дитиофосфат крезиловый,60.0,2010,3
"р. Плющиха ,  | г. Новосибирск",Новосибирская область,Ионы марганца,54.0,2010,3
"р. Пур, п. Самбург",Тюменская область,Ионы железа общего,176.0,2010,3
"р. Пышма,  | г. Березовский",Свердловская область,Ионы марганца,86.0,2010,3
"р. Пяку-Пур,  | п. Тарко-Сале",Тюменская область,Ионы железа общего,66.0,2010,3
"р. Сев. Вильва,  | п. Всеволодо-Вильва",Пермский край,Ионы железа общего,630.0,2010,3
"р. Тагил, г. Верхний Тагил",Свердловская область,Ионы марганца,51.0,2010,3
"р. Таз,  | с. Красноселькуп",Тюменская область,Ионы марганца,117.0,2010,3
"р. Тара, п. Муромцево",Омская область,Ионы марганца,71.0,2010,3
"р. Тобол,  | с. Звериноголовское",Курганская область,Ионы марганца,160.0,2010,3
"р. Тула,  | г. Новосибирск",Новосибирская область,Ионы марганца,65.0,2010,3
"р. Тура, д. Тимофеево",Свердловская область,Ионы марганца,51.0,2010,3
"р. Уй, с. Усть-Уйское",Курганская область,Ионы марганца,80.0,2010,3
"р. Чапаевка, с.Прибой",Самарская область,Ионы марганца,69.0,2010,3
р.Большая Вязовка с.Каргай,Самарская область,Ионы марганца,242.0,2010,3
"р.Камышенка,  | г. Новосибирск",Новосибирская область,Ионы марганца,56.0,2010,3
"р.Нижняя Ельцовка, г.Новосибирск",Новосибирская область,Ионы марганца,55.0,2010,3
"оз. Б.Вудъявр,  | г. Кировск",Мурманская область,Ионы молибдена,15.0,2010,4
"р. Белая, г. Апатиты",Мурманская область,Ионы молибдена,16.0,2010,4
"р. Айва, 18,6 км выше устья,  | г. Красноуральск",Свердловская область,Ионы меди,53.0,2010,4
"р. Айва, 22.9 км выше устья,  | г. Красноуральск",Свердловская область,Ионы меди,52.0,2010,4
"р. Колос-Йоки,  | п. Никель",Мурманская область,Ионы меди,74.0,2010,4
"р. Лая, 15,1 км выше устья,  | г. Красноуральск",Свердловская область,Ионы меди,58.0,2010,4
